source_url,school,school_ar,school_city,school_city_ar,school_country,school_country_ar,region,title,title_ar,summary,summary_ar,subject,format,start,end,days,price,currency,langs,audience,audience_ar,highlights,highlights_ar,rating,reviews,scraped_at,extraction
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,The Strategic Sustainability Leader Program,برنامج القائد الاستراتيجي للاستدامة,"A 60-day blended program from Stanford Graduate School of Business, running 12 May 2026 to 31 July 2026.",برنامج مدمج لمدة 60 يومًا من كلية ستانفورد للدراسات العليا في الأعمال، من 12 مايو 2026 إلى 31 يوليو 2026.,sustainability,blended,2026-05-12,2026-07-31,60,19500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/stanford-university-stanford-graduate-school-of-business-executive-education,Stanford Graduate School of Business,كلية ستانفورد للدراسات العليا في الأعمال,Stanford,ستانفورد,United States,الولايات المتحدة,americas,The Emerging COO: Driving Innovation and Operational Excellence,مدير العمليات الصاعد: قيادة الابتكار والتميّز التشغيلي,"A 85-day blended program from Stanford Graduate School of Business, running 27 April 2026 to 21 August 2026.",برنامج مدمج لمدة 85 يومًا من كلية ستانفورد للدراسات العليا في الأعمال، من 27 أبريل 2026 إلى 21 أغسطس 2026.,operations,blended,2026-04-27,2026-08-21,85,18000,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/illinois/northwestern-university-kellogg-school-of-management-executive-education,Kellogg School of Management,كلية كيلوغ للإدارة,Evanston,إيفانستون,United States,الولايات المتحدة,americas,Advanced Marketing Management,الإدارة المتقدمة للتسويق,"A 5-day on-campus program from Kellogg School of Management, running 22 June 2026 to 26 June 2026.",برنامج حضوري لمدة 5 أيام من كلية كيلوغ للإدارة، من 22 يونيو 2026 إلى 26 يونيو 2026.,marketing,in-person,2026-06-22,2026-06-26,5,9950,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/illinois/northwestern-university-kellogg-school-of-management-executive-education,Kellogg School of Management,كلية كيلوغ للإدارة,Evanston,إيفانستون,United States,الولايات المتحدة,americas,Growth Marketing,تسويق النمو,"A 4-day on-campus program from Kellogg School of Management, running 16 June 2026 to 19 June 2026.",برنامج حضوري لمدة 4 أيام من كلية كيلوغ للإدارة، من 16 يونيو 2026 إلى 19 يونيو 2026.,marketing,in-person,2026-06-16,2026-06-19,4,8950,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/illinois/northwestern-university-kellogg-school-of-management-executive-education,Kellogg School of Management,كلية كيلوغ للإدارة,Evanston,إيفانستون,United States,الولايات المتحدة,americas,Corporate Governance,حوكمة الشركات,"A 4-day on-campus program from Kellogg School of Management, running 1 June 2026 to 4 June 2026.",برنامج حضوري لمدة 4 أيام من كلية كيلوغ للإدارة، من 1 يونيو 2026 إلى 4 يونيو 2026.,leadership,in-person,2026-06-01,2026-06-04,4,11500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/illinois/northwestern-university-kellogg-school-of-management-executive-education,Kellogg School of Management,كلية كيلوغ للإدارة,Evanston,إيفانستون,United States,الولايات المتحدة,americas,Lean Operations,العمليات الرشيقة,"A 3-day on-campus program from Kellogg School of Management, running 11 May 2026 to 13 May 2026.",برنامج حضوري لمدة 3 أيام من كلية كيلوغ للإدارة، من 11 مايو 2026 إلى 13 مايو 2026.,operations,in-person,2026-05-11,2026-05-13,3,8950,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/illinois/northwestern-university-kellogg-school-of-management-executive-education,Kellogg School of Management,كلية كيلوغ للإدارة,Evanston,إيفانستون,United States,الولايات المتحدة,americas,Leading and Sustaining a Culture of Innovation,قيادة ثقافة الابتكار وإدامتها,"A 4-day on-campus program from Kellogg School of Management, running 4 May 2026 to 7 May 2026.",برنامج حضوري لمدة 4 أيام من كلية كيلوغ للإدارة، من 4 مايو 2026 إلى 7 مايو 2026.,strategy,in-person,2026-05-04,2026-05-07,4,11500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/new-york/new-york-university-nyu-stern-school-of-business-executive-education,NYU Stern School of Business,كلية شتيرن للأعمال بجامعة نيويورك,New York,نيويورك,United States,الولايات المتحدة,americas,Entrepreneurs Built By Sport,روّاد أعمال صنعتهم الرياضة,"A 4-day on-campus program from NYU Stern School of Business, running 29 June 2026 to 2 July 2026.",برنامج حضوري لمدة 4 أيام من كلية شتيرن للأعمال بجامعة نيويورك، من 29 يونيو 2026 إلى 2 يوليو 2026.,entrepreneurship,in-person,2026-06-29,2026-07-02,4,5625,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/new-york/new-york-university-nyu-stern-school-of-business-executive-education,NYU Stern School of Business,كلية شتيرن للأعمال بجامعة نيويورك,New York,نيويورك,United States,الولايات المتحدة,americas,Communication Strategies: Developing Leadership Presence,استراتيجيات التواصل: تنمية الحضور القيادي,"A 2-day on-campus program from NYU Stern School of Business, running 11 June 2026 to 12 June 2026.",برنامج حضوري لمدة يومين من كلية شتيرن للأعمال بجامعة نيويورك، من 11 يونيو 2026 إلى 12 يونيو 2026.,people,in-person,2026-06-11,2026-06-12,2,4382,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/new-york/new-york-university-nyu-stern-school-of-business-executive-education,NYU Stern School of Business,كلية شتيرن للأعمال بجامعة نيويورك,New York,نيويورك,United States,الولايات المتحدة,americas,Leadership Training for High Potentials,تدريب قيادي لأصحاب الإمكانات العالية,"A 2-day on-campus program from NYU Stern School of Business, running 9 June 2026 to 10 June 2026.",برنامج حضوري لمدة يومين من كلية شتيرن للأعمال بجامعة نيويورك، من 9 يونيو 2026 إلى 10 يونيو 2026.,leadership,in-person,2026-06-09,2026-06-10,2,3344,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/new-york/new-york-university-nyu-stern-school-of-business-executive-education,NYU Stern School of Business,كلية شتيرن للأعمال بجامعة نيويورك,New York,نيويورك,United States,الولايات المتحدة,americas,Negotiation Strategies: Optimizing Outcomes through Collaboration and Conflict Resolution,استراتيجيات التفاوض: تحسين النتائج بالتعاون وحلّ النزاعات,"A 3-day on-campus program from NYU Stern School of Business, running 1 June 2026 to 3 June 2026.",برنامج حضوري لمدة 3 أيام من كلية شتيرن للأعمال بجامعة نيويورك، من 1 يونيو 2026 إلى 3 يونيو 2026.,negotiation,in-person,2026-06-01,2026-06-03,3,4752,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/michigan/michigan-ross-executive-education-university-of-michigan,Michigan Ross Executive Education,التعليم التنفيذي في كلية روس بجامعة ميشيغان,,,United States,الولايات المتحدة,americas,"Leading with Impact: Culture, Teams, and Organizational Performance",القيادة المؤثرة: الثقافة والفرق والأداء المؤسسي,"A 25-day online program from Michigan Ross Executive Education, running 20 July 2026 to 21 August 2026.",برنامج عبر الإنترنت لمدة 25 يومًا من التعليم التنفيذي في كلية روس بجامعة ميشيغان، من 20 يوليو 2026 إلى 21 أغسطس 2026.,leadership,online,2026-07-20,2026-08-21,25,2500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/michigan/michigan-ross-executive-education-university-of-michigan,Michigan Ross Executive Education,التعليم التنفيذي في كلية روس بجامعة ميشيغان,,,United States,الولايات المتحدة,americas,Strategy and Competitive Advantage,الاستراتيجية والميزة التنافسية,"A 30-day online program from Michigan Ross Executive Education, running 1 June 2026 to 10 July 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من التعليم التنفيذي في كلية روس بجامعة ميشيغان، من 1 يونيو 2026 إلى 10 يوليو 2026.,strategy,online,2026-06-01,2026-07-10,30,2500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/massachusetts-institute-of-technology-mit-sloan-school-of-management-executive-education,MIT Sloan School of Management,كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Machine Learning in Business,تعلّم الآلة في الأعمال,"A 30-day online program from MIT Sloan School of Management, running 12 August 2026 to 29 September 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا، من 12 أغسطس 2026 إلى 29 سبتمبر 2026.,data,online,2026-08-12,2026-09-29,30,3850,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/massachusetts-institute-of-technology-mit-sloan-school-of-management-executive-education,MIT Sloan School of Management,كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Making AI Work: Machine Intelligence for Business and Society,تفعيل الذكاء الاصطناعي للأعمال والمجتمع,"A 30-day online program from MIT Sloan School of Management, running 12 August 2026 to 29 September 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا، من 12 أغسطس 2026 إلى 29 سبتمبر 2026.,digital,online,2026-08-12,2026-09-29,30,3250,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/massachusetts-institute-of-technology-mit-sloan-school-of-management-executive-education,MIT Sloan School of Management,كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Organizational Design for Digital Transformation,التصميم المؤسسي للتحوّل الرقمي,"A 30-day online program from MIT Sloan School of Management, running 19 August 2026 to 6 October 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا، من 19 أغسطس 2026 إلى 6 أكتوبر 2026.,digital,online,2026-08-19,2026-10-06,30,3250,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/massachusetts-institute-of-technology-mit-sloan-school-of-management-executive-education,MIT Sloan School of Management,كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Pricing: Using Data to Improve Pricing Performance,التسعير: استخدام البيانات لتحسين أداء التسعير,"A 30-day online program from MIT Sloan School of Management, running 5 August 2026 to 22 September 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا، من 5 أغسطس 2026 إلى 22 سبتمبر 2026.,data,online,2026-08-05,2026-09-22,30,3250,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/massachusetts-institute-of-technology-mit-sloan-school-of-management-executive-education,MIT Sloan School of Management,كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Digital Business Strategy: Harnessing Our Digital Future,استراتيجية الأعمال الرقمية: تسخير مستقبلنا الرقمي,"A 30-day online program from MIT Sloan School of Management, running 29 July 2026 to 15 September 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا، من 29 يوليو 2026 إلى 15 سبتمبر 2026.,digital,online,2026-07-29,2026-09-15,30,3250,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/massachusetts-institute-of-technology-mit-sloan-school-of-management-executive-education,MIT Sloan School of Management,كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Business Sustainability Strategy,استراتيجية استدامة الأعمال,"A 30-day online program from MIT Sloan School of Management, running 22 July 2026 to 8 September 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا، من 22 يوليو 2026 إلى 8 سبتمبر 2026.,sustainability,online,2026-07-22,2026-09-08,30,3250,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/massachusetts-institute-of-technology-mit-sloan-school-of-management-executive-education,MIT Sloan School of Management,كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Interpersonal Communication: Strategies for Executives,التواصل بين الأشخاص: استراتيجيات للتنفيذيين,"A 30-day online program from MIT Sloan School of Management, running 5 August 2026 to 22 September 2026.",برنامج عبر الإنترنت لمدة 30 يومًا من كلية سلون للإدارة بمعهد ماساتشوستس للتكنولوجيا، من 5 أغسطس 2026 إلى 22 سبتمبر 2026.,people,online,2026-08-05,2026-09-22,30,3250,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,Negotiation and Influence,التفاوض والتأثير,"A 3-day on-campus program from UC Berkeley Haas School of Business, running 29 June 2026 to 1 July 2026.",برنامج حضوري لمدة 3 أيام من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 29 يونيو 2026 إلى 1 يوليو 2026.,negotiation,in-person,2026-06-29,2026-07-01,3,5100,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,New Manager Boot Camp,معسكر المدير الجديد,"A 3-day on-campus program from UC Berkeley Haas School of Business, running 8 June 2026 to 10 June 2026.",برنامج حضوري لمدة 3 أيام من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 8 يونيو 2026 إلى 10 يونيو 2026.,leadership,in-person,2026-06-08,2026-06-10,3,5400,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,Financial Data Analysis for Leaders,تحليل البيانات المالية للقادة,"A 5-day on-campus program from UC Berkeley Haas School of Business, running 1 June 2026 to 5 June 2026.",برنامج حضوري لمدة 5 أيام من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 1 يونيو 2026 إلى 5 يونيو 2026.,finance,in-person,2026-06-01,2026-06-05,5,7500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,AI for Executives,الذكاء الاصطناعي للتنفيذيين,"A 3-day on-campus program from UC Berkeley Haas School of Business, running 11 May 2026 to 13 May 2026.",برنامج حضوري لمدة 3 أيام من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 11 مايو 2026 إلى 13 مايو 2026.,digital,in-person,2026-05-11,2026-05-13,3,6500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,"Agentic AI: Strategy, Applications, and Organizational Impact",الذكاء الاصطناعي الوكيل: الاستراتيجية والتطبيقات والأثر المؤسسي,"A 25-day online program from UC Berkeley Haas School of Business, running 9 July 2026 to 13 August 2026.",برنامج عبر الإنترنت لمدة 25 يومًا من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 9 يوليو 2026 إلى 13 أغسطس 2026.,digital,online,2026-07-09,2026-08-13,25,3500,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,Business Analytics and AI: From Data to Decisions,تحليلات الأعمال والذكاء الاصطناعي: من البيانات إلى القرارات,"A 40-day online program from UC Berkeley Haas School of Business, running 25 June 2026 to 20 August 2026.",برنامج عبر الإنترنت لمدة 40 يومًا من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 25 يونيو 2026 إلى 20 أغسطس 2026.,data,online,2026-06-25,2026-08-20,40,2775,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,Chief Executive Officer (CEO) Program,برنامج الرئيس التنفيذي,"A 220-day blended program from UC Berkeley Haas School of Business, running 17 August 2026 to 24 June 2027.",برنامج مدمج لمدة 220 يومًا من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 17 أغسطس 2026 إلى 24 يونيو 2027.,leadership,blended,2026-08-17,2027-06-24,220,38000,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/california/university-of-california-uc-berkeley-haas-school-of-business-center-for-executive-education,UC Berkeley Haas School of Business,كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي,Berkeley,بيركلي,United States,الولايات المتحدة,americas,Chief Financial Officer (CFO) Program,برنامج المدير المالي,"A 140-day blended program from UC Berkeley Haas School of Business, running 31 March 2026 to 27 October 2026.",برنامج مدمج لمدة 140 يومًا من كلية هاس للأعمال بجامعة كاليفورنيا في بيركلي، من 31 مارس 2026 إلى 27 أكتوبر 2026.,finance,blended,2026-03-31,2026-10-27,140,20150,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/harvard-university-kennedy-school-of-government-executive-education,Harvard Kennedy School,كلية كينيدي بجامعة هارفارد,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Cybersecurity: The Intersection of Policy and Technology,الأمن السيبراني: تقاطع السياسات والتقنية,"A 6-day on-campus program from Harvard Kennedy School, running 26 July 2026 to 31 July 2026.",برنامج حضوري لمدة 6 أيام من كلية كينيدي بجامعة هارفارد، من 26 يوليو 2026 إلى 31 يوليو 2026.,digital,in-person,2026-07-26,2026-07-31,6,11300,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/harvard-university-kennedy-school-of-government-executive-education,Harvard Kennedy School,كلية كينيدي بجامعة هارفارد,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Leading in Artificial Intelligence: Exploring Technology and Policy,القيادة في الذكاء الاصطناعي: استكشاف التقنية والسياسات,"A 6-day on-campus program from Harvard Kennedy School, running 12 July 2026 to 17 July 2026.",برنامج حضوري لمدة 6 أيام من كلية كينيدي بجامعة هارفارد، من 12 يوليو 2026 إلى 17 يوليو 2026.,digital,in-person,2026-07-12,2026-07-17,6,11700,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/harvard-university-kennedy-school-of-government-executive-education,Harvard Kennedy School,كلية كينيدي بجامعة هارفارد,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Leadership for Social Impact,القيادة من أجل الأثر الاجتماعي,"A 4-day on-campus program from Harvard Kennedy School, running 8 June 2026 to 11 June 2026.",برنامج حضوري لمدة 4 أيام من كلية كينيدي بجامعة هارفارد، من 8 يونيو 2026 إلى 11 يونيو 2026.,leadership,in-person,2026-06-08,2026-06-11,4,7100,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
https://executivecourses.com/schools/usa/massachusetts/harvard-university-kennedy-school-of-government-executive-education,Harvard Kennedy School,كلية كينيدي بجامعة هارفارد,Cambridge,كامبريدج,United States,الولايات المتحدة,americas,Comparative Tax Policy and Administration,السياسة الضريبية المقارنة وإدارتها,"A 10-day on-campus program from Harvard Kennedy School, running 10 August 2026 to 21 August 2026.",برنامج حضوري لمدة 10 أيام من كلية كينيدي بجامعة هارفارد، من 10 أغسطس 2026 إلى 21 أغسطس 2026.,finance,in-person,2026-08-10,2026-08-21,10,13900,USD,en,,,,,,,2026-08-22T19:26:00Z,llm
